Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Variables,VariableReferenceBase,0,n,The list of variables to which the missing values are assigned,,true,,,,,,,,,,,
Value,string,0,n,The values to be considered as missing values,,,,,,,,,,,,,
ValueRange,ValueRange,0,n,The range of values to be considered as missing values,,,,,,,,,,,,,
