Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
RecodedVariables,RecodeVariable,0,n,TODO,,,,,,,,,,,
Rules,RecodeRule,0,n,TODO,,,,,,,,,,,
