Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
FileName,string,1,1,Name of the file being appended.  May be the name of an active dataframe.,,,,,,,,,,,,,
RenameVariables,RenamePair,0,n,Variables to be renamed,,TRUE,,,,,,,,,,,
KeepVariables,VariableReferenceBase,0,n,List of variables to keep,,TRUE,,,,,,,,,,,
DropVariables,VariableReferenceBase,0,n,List of variables to drop,,TRUE,,,,,,,,,,,
KeepCasesCondition,ExpressionBase,0,1,Logical condition for keeping rows.,,TRUE,,,,,,,,,,,
DropCasesCondition,ExpressionBase,0,1,Logical condition for dropping rows.,,TRUE,,,,,,,,,,,
Software,string,0,1,The software package that works with the file.,,,,,,,,,,,,,
FileFormat,string,0,1,The name of a file format,,,,,csv txt dat xls xlsx sav dta sas7bdat rds rdata,,,,,,,,
IsCompressed,boolean,0,1,Indicates whether the file format is compressed.,,,,,,,,,,,,,
