Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Variables,VariableReferenceBase,0,n,"A list of variable against which each command will be performed",,,,,,,,,,,,,
IteratorVariable,VariableSymbolExpression,1,1,"The locally scoped variable that represents the current variable being acted upon.",,,,,,,,,,,,,
Commands,TransformBase,0,n,"The list of commands to be performed against each variable.",,true,,,,,,,,,,,
