Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
GroupByVariables,VariableReferenceBase,0,n,Variables used as keys to identify groups.,,TRUE,,,,,,,,,,,
AggregateVariables,Compute,1,n,The expressions that compute the aggregations. An aggregation function should be used.,,,,,,,,,,,,,
Weighting,Weight,0,1,Description of the weights to be used,,,,,,,,,,,,,
