Name,DataType,MinCardinality,MaxCardinality,Description,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
VariableList,VariableListExpression,0,1,The list of variables that will have their format set,,,,,,,,,,,
VariableRange,VariableRangeExpression,0,1,"The range of variables, each of which is to have the format assigned",,,,,,,,,,,
Format,string,0,1,The name of the format to be assigned to the variable(s). This name is system dependent.,,,,,,,,,,,
