Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Function,string,1,1,The name of the function being called.,,,,,,,,,,,,,
IsSdtlName,boolean,1,1,"When true, the Function property contains the name of a function from the SDTL function library. When false, the Function property contains the name of a system-specific or user-defined function.",,,,,,,,,,,,,
Arguments,FunctionArgument,0,n,A list of parameters to the function.,true,true,,,,,,,,,,,
