Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Condition,ExpressionBase,0,1,Describes a condition required for the next iteration to begin.  ,,TRUE,,,,,,,,,,,
EndCondition,ExpressionBase,0,1,Describes a condition that ends interation.  ,,TRUE,,,,,,,,,,,
Commands,TransformBase,1,n,Commands within the loop.,,TRUE,,,,,,,,,,,
Updated,boolean,0,1,"When TRUE, the loop has been expanded into separate commands.",,,,,,,,,,,,,
