Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Iterators,IteratorDescription,1,n,Describes one or more iteration processes in this loop.  ,,TRUE,,,,,,,,,,,
Commands,TransformBase,1,n,Commands generated by the loop expanded by replacing tokens representing variables, numbers, or strings with their values.,,TRUE,,,,,,,,,
Updated,Boolean,0,1,"When TRUE, the loop has been expanded into separate commands.",,,,,,,,,,,,,
