Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
FileName,string,1,1,The name of the file to be loaded.,,,,,,,,,,,,,
Software,string,0,1,The software package that works with the file.,,,,,,,,,,,,,
FileFormat,string,0,1,The name of a file format,,,,,csv txt dat xls xlsx sav dta sas7bdat rds rdata,,,,,,,,
IsCompressed,boolean,0,1,Indicates whether the file format is compressed.,,,,,,,,,,,,,
