Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
StartExpression,ExpressionBase,0,1,"TODO",,true,,,,,,,,,,,
EndExpression,ExpressionBase,0,1,"TODO",,true,,,,,,,,,,,
IteratorVariable,VariableSymbolExpression,1,1,"The locally scoped variable that represents the current loop value.",,,,,,,,,,,,,
Commands,TransformBase,0,n,"The list of commands to be performed against each variable.",,true,,,,,,,,,,,
