Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
RangeStart,string,1,1,Starting value for range,,,,,,,,,,,,,
RangeEnd,string,1,1,Ending value for range,,,,,,,,,,,,,
