Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
FromValue,ExpressionBase,0,n,The values to be recoded.,,true,,,,,,,,,,,
To,string,0,1,The new value,,,,,,,,,,,,,
Label,string,0,1,"A value label for the new recoded value, if appropriate",,,,,,,,,,,,,
Condition,ExpressionBase,0,1,The condition that must be true in order for the recode to take place,,true,,,,,,,,,,,
